Origin 3-Digit   Destination 3-Digit   Changed From   Changed To   
005              006                   7              A            
005              007                   7              A            
005              008                   7              A            
005              009                   7              A            
005              967                   8              A            
005              968                   8              A            
005              995                   8              A            
005              996                   8              A            
005              997                   8              A            
005              998                   8              A            
005              999                   8              A            
006              967                   8              A            
006              968                   8              A            
006              995                   8              A            
006              996                   8              A            
006              997                   8              A            
006              998                   8              A            
006              999                   8              A            
007              967                   8              A            
007              968                   8              A            
007              995                   8              A            
007              996                   8              A            
007              997                   8              A            
007              998                   8              A            
007              999                   8              A            
008              967                   8              A            
008              968                   8              A            
008              995                   8              A            
008              996                   8              A            
008              997                   8              A            
008              998                   8              A            
008              999                   8              A            
009              967                   8              A            
009              968                   8              A            
009              995                   8              A            
009              996                   8              A            
009              997                   8              A            
009              998                   8              A            
009              999                   8              A            
010              006                   7              A            
010              007                   7              A            
010              008                   7              A            
010              009                   7              A            
010              967                   8              A            
010              968                   8              A            
010              995                   8              A            
010              996                   8              A            
010              997                   8              A            
010              998                   8              A            
010              999                   8              A            
011              006                   7              A            
011              007                   7              A            
011              008                   7              A            
011              009                   7              A            
011              967                   8              A            
011              968                   8              A            
011              995                   8              A            
011              996                   8              A            
011              997                   8              A            
011              998                   8              A            
011              999                   8              A            
012              006                   7              A            
012              007                   7              A            
012              008                   7              A            
012              009                   7              A            
012              967                   8              A            
012              968                   8              A            
012              995                   8              A            
012              996                   8              A            
012              997                   8              A            
012              998                   8              A            
012              999                   8              A            
013              006                   7              A            
013              007                   7              A            
013              008                   7              A            
013              009                   7              A            
013              967                   8              A            
013              968                   8              A            
013              995                   8              A            
013              996                   8              A            
013              997                   8              A            
013              998                   8              A            
013              999                   8              A            
014              006                   7              A            
014              007                   7              A            
014              008                   7              A            
014              009                   7              A            
014              967                   8              A            
014              968                   8              A            
014              995                   8              A            
014              996                   8              A            
014              997                   8              A            
014              998                   8              A            
014              999                   8              A            
015              006                   7              A            
015              007                   7              A            
015              008                   7              A            
015              009                   7              A            
015              967                   8              A            
015              968                   8              A            
015              995                   8              A            
015              996                   8              A            
015              997                   8              A            
015              998                   8              A            
015              999                   8              A            
016              006                   7              A            
016              007                   7              A            
016              008                   7              A            
016              009                   7              A            
016              967                   8              A            
016              968                   8              A            
016              995                   8              A            
016              996                   8              A            
016              997                   8              A            
016              998                   8              A            
016              999                   8              A            
017              006                   7              A            
017              007                   7              A            
017              008                   7              A            
017              009                   7              A            
017              967                   8              A            
017              968                   8              A            
017              995                   8              A            
017              996                   8              A            
017              997                   8              A            
017              998                   8              A            
017              999                   8              A            
018              006                   7              A            
018              007                   7              A            
018              008                   7              A            
018              009                   7              A            
018              967                   8              A            
018              968                   8              A            
018              995                   8              A            
018              996                   8              A            
018              997                   8              A            
018              998                   8              A            
018              999                   8              A            
019              006                   7              A            
019              007                   7              A            
019              008                   7              A            
019              009                   7              A            
019              967                   8              A            
019              968                   8              A            
019              995                   8              A            
019              996                   8              A            
019              997                   8              A            
019              998                   8              A            
019              999                   8              A            
020              006                   7              A            
020              007                   7              A            
020              008                   7              A            
020              009                   7              A            
020              967                   8              A            
020              968                   8              A            
020              995                   8              A            
020              996                   8              A            
020              997                   8              A            
020              998                   8              A            
020              999                   8              A            
021              006                   7              A            
021              007                   7              A            
021              008                   7              A            
021              009                   7              A            
021              967                   8              A            
021              968                   8              A            
021              995                   8              A            
021              996                   8              A            
021              997                   8              A            
021              998                   8              A            
021              999                   8              A            
022              006                   7              A            
022              007                   7              A            
022              008                   7              A            
022              009                   7              A            
022              967                   8              A            
022              968                   8              A            
022              995                   8              A            
022              996                   8              A            
022              997                   8              A            
022              998                   8              A            
022              999                   8              A            
023              006                   7              A            
023              007                   7              A            
023              008                   7              A            
023              009                   7              A            
023              967                   8              A            
023              968                   8              A            
023              995                   8              A            
023              996                   8              A            
023              997                   8              A            
023              998                   8              A            
023              999                   8              A            
024              006                   7              A            
024              007                   7              A            
024              008                   7              A            
024              009                   7              A            
024              967                   8              A            
024              968                   8              A            
024              995                   8              A            
024              996                   8              A            
024              997                   8              A            
024              998                   8              A            
024              999                   8              A            
025              006                   7              A            
025              007                   7              A            
025              008                   7              A            
025              009                   7              A            
025              967                   8              A            
025              968                   8              A            
025              995                   8              A            
025              996                   8              A            
025              997                   8              A            
025              998                   8              A            
025              999                   8              A            
026              006                   7              A            
026              007                   7              A            
026              008                   7              A            
026              009                   7              A            
026              967                   8              A            
026              968                   8              A            
026              995                   8              A            
026              996                   8              A            
026              997                   8              A            
026              998                   8              A            
026              999                   8              A            
027              006                   7              A            
027              007                   7              A            
027              008                   7              A            
027              009                   7              A            
027              967                   8              A            
027              968                   8              A            
027              995                   8              A            
027              996                   8              A            
027              997                   8              A            
027              998                   8              A            
027              999                   8              A            
028              006                   7              A            
028              007                   7              A            
028              008                   7              A            
028              009                   7              A            
028              967                   8              A            
028              968                   8              A            
028              995                   8              A            
028              996                   8              A            
028              997                   8              A            
028              998                   8              A            
028              999                   8              A            
029              006                   7              A            
029              007                   7              A            
029              008                   7              A            
029              009                   7              A            
029              967                   8              A            
029              968                   8              A            
029              995                   8              A            
029              996                   8              A            
029              997                   8              A            
029              998                   8              A            
029              999                   8              A            
030              006                   7              A            
030              007                   7              A            
030              008                   7              A            
030              009                   7              A            
030              967                   8              A            
030              968                   8              A            
030              995                   8              A            
030              996                   8              A            
030              997                   8              A            
030              998                   8              A            
030              999                   8              A            
031              006                   7              A            
031              007                   7              A            
031              008                   7              A            
031              009                   7              A            
031              967                   8              A            
031              968                   8              A            
031              995                   8              A            
031              996                   8              A            
031              997                   8              A            
031              998                   8              A            
031              999                   8              A            
032              006                   7              A            
032              007                   7              A            
032              008                   7              A            
032              009                   7              A            
032              967                   8              A            
032              968                   8              A            
032              995                   8              A            
032              996                   8              A            
032              997                   8              A            
032              998                   8              A            
032              999                   8              A            
033              006                   7              A            
033              007                   7              A            
033              008                   7              A            
033              009                   7              A            
033              967                   8              A            
033              968                   8              A            
033              995                   8              A            
033              996                   8              A            
033              997                   8              A            
033              998                   8              A            
033              999                   8              A            
034              006                   7              A            
034              007                   7              A            
034              008                   7              A            
034              009                   7              A            
034              967                   8              A            
034              968                   8              A            
034              995                   8              A            
034              996                   8              A            
034              997                   8              A            
034              998                   8              A            
034              999                   8              A            
035              006                   8              A            
035              007                   8              A            
035              008                   8              A            
035              009                   8              A            
035              967                   8              A            
035              968                   8              A            
035              995                   8              A            
035              996                   8              A            
035              997                   8              A            
035              998                   8              A            
035              999                   8              A            
036              006                   7              A            
036              007                   7              A            
036              008                   7              A            
036              009                   7              A            
036              967                   8              A            
036              968                   8              A            
036              995                   8              A            
036              996                   8              A            
036              997                   8              A            
036              998                   8              A            
036              999                   8              A            
037              006                   7              A            
037              007                   7              A            
037              008                   7              A            
037              009                   7              A            
037              967                   8              A            
037              968                   8              A            
037              995                   8              A            
037              996                   8              A            
037              997                   8              A            
037              998                   8              A            
037              999                   8              A            
038              006                   7              A            
038              007                   7              A            
038              008                   7              A            
038              009                   7              A            
038              967                   8              A            
038              968                   8              A            
038              995                   8              A            
038              996                   8              A            
038              997                   8              A            
038              998                   8              A            
038              999                   8              A            
039              006                   7              A            
039              007                   7              A            
039              008                   7              A            
039              009                   7              A            
039              967                   8              A            
039              968                   8              A            
039              995                   8              A            
039              996                   8              A            
039              997                   8              A            
039              998                   8              A            
039              999                   8              A            
040              006                   7              A            
040              007                   7              A            
040              008                   7              A            
040              009                   7              A            
040              967                   8              A            
040              968                   8              A            
040              995                   8              A            
040              996                   8              A            
040              997                   8              A            
040              998                   8              A            
040              999                   8              A            
041              006                   7              A            
041              007                   7              A            
041              008                   7              A            
041              009                   7              A            
041              967                   8              A            
041              968                   8              A            
041              995                   8              A            
041              996                   8              A            
041              997                   8              A            
041              998                   8              A            
041              999                   8              A            
042              006                   8              A            
042              007                   8              A            
042              008                   8              A            
042              009                   8              A            
042              967                   8              A            
042              968                   8              A            
042              995                   8              A            
042              996                   8              A            
042              997                   8              A            
042              998                   8              A            
042              999                   8              A            
043              006                   8              A            
043              007                   8              A            
043              008                   8              A            
043              009                   8              A            
043              967                   8              A            
043              968                   8              A            
